country_iso_code,city_name,station_european_code,type_of_station,station_type_of_area,component_caption,component_name,statistics_year,statistic_value,measurement_unit,above_LV?,measurement_european_group_code,statistics_average_group,statistic_shortname,statistics_percentage_valid,city_code,UA_city_pop,percentage_traffic_population,percentage_background_population,count_type_by_city,assigned_population
BE,Liège,BETR201,Background,urban,NO2,Nitrogen dioxide (air),2012,27.233,µg/m3,0,100,hour,Mean,96.938,BE005C1,361767,7.4,92.6,2,167498.121
BE,Liège,BETR222,Background,suburban,NO2,Nitrogen dioxide (air),2012,27.926,µg/m3,0,100,hour,Mean,96.607,BE005C1,361767,7.4,92.6,2,167498.121
BE,Charleroi,BETR501,Traffic,urban,NO2,Nitrogen dioxide (air),2012,35.109,µg/m3,0,100,hour,Mean,97.359,BE004C1,203599,7.4,92.6,1,15066.326
BE,Charleroi,BETR502,Background,suburban,NO2,Nitrogen dioxide (air),2012,26.836,µg/m3,0,100,hour,Mean,96.323,BE004C1,203599,7.4,92.6,1,188532.674
BE,Gent,BETR701,Background,urban,NO2,Nitrogen dioxide (air),2012,31.493,µg/m3,0,100,hour,Mean,91.052,BE003C1,232248,7.4,92.6,1,215061.648
BE,Antwerpen,BETR801,Traffic,urban,NO2,Nitrogen dioxide (air),2012,44.72,µg/m3,1,100,hour,Mean,90.642,BE002C1,462098,7.4,92.6,2,17097.626
BE,Antwerpen,BETR802,Traffic,urban,NO2,Nitrogen dioxide (air),2012,49.767,µg/m3,1,100,hour,Mean,92.02,BE002C1,462098,7.4,92.6,2,17097.626
BE,Bruxelles / Brussel,BETWOL1,Traffic,suburban,NO2,Nitrogen dioxide (air),2012,39.727,µg/m3,0,100,hour,Mean,97.37,BE001C1,1003562,7.4,92.6,5,14852.7176
BG,Varna,BG0012A,Traffic,urban,NO2,Nitrogen dioxide (air),2012,11.473,µg/m3,0,500,hour,Mean,95.56,BG003C1,311618,3.6,96.4,1,11218.248
BG,Pleven,BG0019A,Background,urban,NO2,Nitrogen dioxide (air),2012,25.452,µg/m3,0,501,hour,Mean,94.137,BG005C1,113246,3.6,96.4,1,109169.144
BG,Shumen,BG0038A,Background,urban,NO2,Nitrogen dioxide (air),2012,18.679,µg/m3,0,501,hour,Mean,93.192,BG011C1,86485,3.6,96.4,1,83371.54
BG,Sofia,BG0040A,Background,suburban,NO2,Nitrogen dioxide (air),2012,26.024,µg/m3,0,500,hour,Mean,99.328,BG001C1,1150153,3.6,96.4,3,369582.497333
BG,Vratsa,BG0043A,Background,urban,NO2,Nitrogen dioxide (air),2012,20.552,µg/m3,0,500,hour,Mean,95.15,BG018C1,62584,3.6,96.4,1,60330.976
BG,Burgas,BG0044A,Background,suburban,NO2,Nitrogen dioxide (air),2012,8.466,µg/m3,0,501,hour,Mean,90.699,BG004C1,192795,3.6,96.4,2,92927.19
BG,Ruse,BG0045A,Background,suburban,NO2,Nitrogen dioxide (air),2012,19.989,µg/m3,0,100,hour,Mean,96.163,BG006C1,157369,3.6,96.4,1,151703.716
BG,Pernik,BG0049A,Traffic,suburban,NO2,Nitrogen dioxide (air),2012,36.357,µg/m3,0,500,hour,Mean,96.3,BG012C1,78284,3.6,96.4,1,2818.224
BG,Sofia,BG0050A,Background,suburban,NO2,Nitrogen dioxide (air),2012,36.648,µg/m3,0,500,hour,Mean,93.887,BG001C1,1150153,3.6,96.4,3,369582.497333
BG,Plovdiv,BG0051A,Background,urban,NO2,Nitrogen dioxide (air),2012,28.456,µg/m3,0,500,hour,Mean,96.642,BG002C1,343114,3.6,96.4,1,330761.896
BG,Sofia,BG0052A,Background,suburban,NO2,Nitrogen dioxide (air),2012,23.319,µg/m3,0,500,hour,Mean,94.604,BG001C1,1150153,3.6,96.4,3,369582.497333
BG,Sofia,BG0054A,Traffic,urban,NO2,Nitrogen dioxide (air),2012,45.329,µg/m3,1,100,hour,Mean,99.214,BG001C1,1150153,3.6,96.4,2,20702.754
BG,Stara Zagora,BG0055A,Traffic,urban,NO2,Nitrogen dioxide (air),2012,27.393,µg/m3,0,100,hour,Mean,94.763,BG008C1,139807,3.6,96.4,1,5033.052
BG,Burgas,BG0056A,Background,suburban,NO2,Nitrogen dioxide (air),2012,13.4,µg/m3,0,100,hour,Mean,99.294,BG004C1,192795,3.6,96.4,2,92927.19
BG,Blagoevgrad,BG0058A,Background,suburban,NO2,Nitrogen dioxide (air),2012,20.118,µg/m3,0,100,hour,Mean,94.843,BG016C1,67436,3.6,96.4,1,65008.304
BG,Plovdiv,BG0072A,Traffic,urban,NO2,Nitrogen dioxide (air),2012,46.253,µg/m3,1,100,hour,Mean,97.689,BG002C1,343114,3.6,96.4,1,12352.104
BG,Sofia,BG0073A,Traffic,urban,NO2,Nitrogen dioxide (air),2012,35.237,µg/m3,0,100,hour,Mean,97.689,BG001C1,1150153,3.6,96.4,2,20702.754
BG,Varna,BG0074A,Background,urban,NO2,Nitrogen dioxide (air),2012,22.44,µg/m3,0,100,hour,Mean,98.201,BG003C1,311618,3.6,96.4,1,300399.752
CH,Zürich,CH0010A,Background,urban,NO2,Nitrogen dioxide (air),2012,31.004,µg/m3,0,500,hour,Mean,99.772,CH001C1,338758,5,95,1,321820.1
CH,Lugano,CH0011A,Background,urban,NO2,Nitrogen dioxide (air),2012,32.24,µg/m3,0,500,hour,Mean,99.51,CH009C1,46205,5,95,2,21947.375
CH,Zürich,CH0013A,Traffic,urban,NO2,Nitrogen dioxide (air),2012,33.955,µg/m3,0,100,hour,Mean,99.647,CH001C1,338758,5,95,2,8468.95
CH,Winterthur,CH0014A,Background,urban,NO2,Nitrogen dioxide (air),2012,24.394,µg/m3,0,100,hour,Mean,98.372,CH006C1,93110,5,95,1,88454.5
CH,Basel,CH0017A,Background,urban,NO2,Nitrogen dioxide (air),2012,26.758,µg/m3,0,100,hour,Mean,99.647,CH003C1,167077,5,95,1,158723.15
CH,Bern,CH0020A,Traffic,urban,NO2,Nitrogen dioxide (air),2012,27.839,µg/m3,0,100,hour,Mean,99.966,CH004C1,124192,5,95,2,3104.8
CH,Zürich,CH0021A,Traffic,urban,NO2,Nitrogen dioxide (air),2012,43.412,µg/m3,1,100,hour,Mean,99.317,CH001C1,338758,5,95,2,8468.95
CH,Lausanne,CH0028A,Traffic,urban,NO2,Nitrogen dioxide (air),2012,41.202,µg/m3,1,100,hour,Mean,99.636,CH005C1,111717,5,95,1,5585.85
CH,Basel,CH0029A,Traffic,urban,NO2,Nitrogen dioxide (air),2012,58.961,µg/m3,1,100,hour,Mean,99.545,CH003C1,167077,5,95,1,8353.85
CH,Bern,CH0031A,Traffic,urban,NO2,Nitrogen dioxide (air),2012,41.733,µg/m3,1,100,hour,Mean,99.454,CH004C1,124192,5,95,2,3104.8
CH,St. Gallen,CH0042A,Traffic,urban,NO2,Nitrogen dioxide (air),2012,31.73,µg/m3,0,100,hour,Mean,98.486,CH007C1,68440,5,95,1,3422
CH,Lugano,CH0043A,Background,suburban,NO2,Nitrogen dioxide (air),2012,26.273,µg/m3,0,100,hour,Mean,97.791,CH009C1,46205,5,95,2,21947.375
CH,Genève,CH0048A,Traffic,urban,NO2,Nitrogen dioxide (air),2012,34.195,µg/m3,0,100,hour,Mean,98.634,CH002C1,173044,5,95,1,8652.2
CH,Genève,CH0049A,Background,urban,NO2,Nitrogen dioxide (air),2012,35.58,µg/m3,0,100,hour,Mean,99.704,CH002C1,173044,5,95,1,164391.8
CY,Lefkosia,CY0004A,Traffic,urban,NO2,Nitrogen dioxide (air),2012,32.527,µg/m3,0,100,hour,Mean,98.884,CY001C1,250399,5,95,1,12519.95
CZ,Praha,CZ0ABRA,Traffic,urban,NO2,Nitrogen dioxide (air),2012,30.761,µg/m3,0,500,hour,Mean,98.281,CZ001C1,1170866,4.5,95.5,8,6586.12125
CZ,Praha,CZ0AKAL,Traffic,urban,NO2,Nitrogen dioxide (air),2012,28.103,µg/m3,0,100,hour,Mean,98.258,CZ001C1,1170866,4.5,95.5,8,6586.12125
CZ,Praha,CZ0AKOB,Background,suburban,NO2,Nitrogen dioxide (air),2012,23.901,µg/m3,0,500,hour,Mean,91.769,CZ001C1,1170866,4.5,95.5,5,223635.406
CZ,Praha,CZ0ALEG,Traffic,urban,NO2,Nitrogen dioxide (air),2012,57.816,µg/m3,1,100,hour,Mean,98.11,CZ001C1,1170866,4.5,95.5,8,6586.12125
CZ,Praha,CZ0ALIB,Background,suburban,NO2,Nitrogen dioxide (air),2012,21.399,µg/m3,0,500,hour,Mean,94.046,CZ001C1,1170866,4.5,95.5,5,223635.406
CZ,Praha,CZ0AMLY,Traffic,urban,NO2,Nitrogen dioxide (air),2012,33.218,µg/m3,0,500,hour,Mean,95.924,CZ001C1,1170866,4.5,95.5,8,6586.12125
CZ,Praha,CZ0AREP,Traffic,urban,NO2,Nitrogen dioxide (air),2012,36.897,µg/m3,0,500,hour,Mean,91.564,CZ001C1,1170866,4.5,95.5,8,6586.12125
CZ,Praha,CZ0ARIE,Background,urban,NO2,Nitrogen dioxide (air),2012,28.21,µg/m3,0,500,hour,Mean,93.534,CZ001C1,1170866,4.5,95.5,5,223635.406
CZ,Praha,CZ0ASMI,Traffic,urban,NO2,Nitrogen dioxide (air),2012,42.347,µg/m3,1,100,hour,Mean,89.105,CZ001C1,1170866,4.5,95.5,8,6586.12125
CZ,Praha,CZ0ASTO,Background,urban,NO2,Nitrogen dioxide (air),2012,24.361,µg/m3,0,100,hour,Mean,98.668,CZ001C1,1170866,4.5,95.5,5,223635.406
CZ,Praha,CZ0ASUC,Background,suburban,NO2,Nitrogen dioxide (air),2012,23.338,µg/m3,0,100,hour,Mean,94.763,CZ001C1,1170866,4.5,95.5,5,223635.406
CZ,Praha,CZ0AVRS,Traffic,urban,NO2,Nitrogen dioxide (air),2012,32.678,µg/m3,0,500,hour,Mean,96.3,CZ001C1,1170866,4.5,95.5,8,6586.12125
CZ,Praha,CZ0AVYN,Traffic,urban,NO2,Nitrogen dioxide (air),2012,39.283,µg/m3,0,100,hour,Mean,94.092,CZ001C1,1170866,4.5,95.5,8,6586.12125
CZ,Brno,CZ0BBND,Traffic,urban,NO2,Nitrogen dioxide (air),2012,39.073,µg/m3,0,100,hour,Mean,95.036,CZ002C1,363584,4.5,95.5,2,8180.64
CZ,Brno,CZ0BBNV,Traffic,urban,NO2,Nitrogen dioxide (air),2012,43.533,µg/m3,1,100,hour,Mean,93.556,CZ002C1,363584,4.5,95.5,2,8180.64
CZ,Brno,CZ0BBNY,Background,suburban,NO2,Nitrogen dioxide (air),2012,18.059,µg/m3,0,500,hour,Mean,92.6,CZ002C1,363584,4.5,95.5,1,347222.72
CZ,Ceské Budejovice,CZ0CCBD,Background,urban,NO2,Nitrogen dioxide (air),2012,16.713,µg/m3,0,500,hour,Mean,95.275,CZ008C1,89045,4.5,95.5,1,85037.975
CZ,Pardubice,CZ0EPAO,Background,suburban,NO2,Nitrogen dioxide (air),2012,18.505,µg/m3,0,100,hour,Mean,98.144,CZ010C1,86144,4.5,95.5,2,41133.76
CZ,Pardubice,CZ0EPAU,Background,urban,NO2,Nitrogen dioxide (air),2012,18.71,µg/m3,0,100,hour,Mean,93.591,CZ010C1,86144,4.5,95.5,2,41133.76
CZ,Hradec Králové,CZ0HHKB,Traffic,urban,NO2,Nitrogen dioxide (air),2012,24.5,µg/m3,0,100,hour,Mean,93.5,CZ009C1,94240,4.5,95.5,1,4240.8
CZ,Jihlava,CZ0JJIH,Background,urban,NO2,Nitrogen dioxide (air),2012,15.209,µg/m3,0,100,hour,Mean,95.025,CZ014C1,50593,4.5,95.5,1,48316.315
CZ,Karlovy Vary,CZ0KKVM,Traffic,urban,NO2,Nitrogen dioxide (air),2012,30.546,µg/m3,0,100,hour,Mean,95.298,CZ013C1,50779,4.5,95.5,1,2285.055
CZ,Liberec,CZ0LLIM,Background,urban,NO2,Nitrogen dioxide (air),2012,24.196,µg/m3,0,100,hour,Mean,95.31,CZ007C1,97928,4.5,95.5,1,93521.24
CZ,Olomouc,CZ0MOLJ,Background,urban,NO2,Nitrogen dioxide (air),2012,24.078,µg/m3,0,100,hour,Mean,95.253,CZ006C1,99979,4.5,95.5,1,95479.945
CZ,Plzen,CZ0PPLA,Traffic,urban,NO2,Nitrogen dioxide (air),2012,20.957,µg/m3,0,100,hour,Mean,87.75,CZ004C1,161795,4.5,95.5,2,3640.3875
CZ,Plzen,CZ0PPLB,Background,urban,NO2,Nitrogen dioxide (air),2012,23.241,µg/m3,0,100,hour,Mean,87.454,CZ004C1,161795,4.5,95.5,3,51504.7416667
CZ,Plzen,CZ0PPLE,Traffic,urban,NO2,Nitrogen dioxide (air),2012,26.761,µg/m3,0,500,hour,Mean,76.093,CZ004C1,161795,4.5,95.5,2,3640.3875
CZ,Plzen,CZ0PPLS,Background,suburban,NO2,Nitrogen dioxide (air),2012,15.126,µg/m3,0,100,hour,Mean,91.485,CZ004C1,161795,4.5,95.5,3,51504.7416667
CZ,Plzen,CZ0PPLV,Background,suburban,NO2,Nitrogen dioxide (air),2012,16.583,µg/m3,0,500,hour,Mean,93.272,CZ004C1,161795,4.5,95.5,3,51504.7416667
CZ,Kladno,CZ0SKLM,Background,urban,NO2,Nitrogen dioxide (air),2012,18.878,µg/m3,0,100,hour,Mean,95.867,CZ012C1,69548,4.5,95.5,2,33209.17
CZ,Kladno,CZ0SKLS,Background,urban,NO2,Nitrogen dioxide (air),2012,20.759,µg/m3,0,100,hour,Mean,98.691,CZ012C1,69548,4.5,95.5,2,33209.17
CZ,Havírov,CZ0THAR,Background,urban,NO2,Nitrogen dioxide (air),2012,22.985,µg/m3,0,500,hour,Mean,93.704,CZ015C1,81547,4.5,95.5,1,77877.385
CZ,Karviná,CZ0TKAR,Background,urban,NO2,Nitrogen dioxide (air),2012,25.682,µg/m3,0,500,hour,Mean,94.592,CZ017C1,62337,4.5,95.5,1,59531.835
CZ,Ostrava,CZ0TOCB,Traffic,urban,NO2,Nitrogen dioxide (air),2012,43.097,µg/m3,1,100,hour,Mean,93.739,CZ003C1,308835,4.5,95.5,1,13897.575
CZ,Ostrava,CZ0TOFF,Background,urban,NO2,Nitrogen dioxide (air),2012,25.18,µg/m3,0,500,hour,Mean,93.568,CZ003C1,308835,4.5,95.5,2,147468.7125
CZ,Ostrava,CZ0TOZR,Background,urban,NO2,Nitrogen dioxide (air),2012,25.668,µg/m3,0,500,hour,Mean,94.934,CZ003C1,308835,4.5,95.5,2,147468.7125
CZ,Chomutov-Jirkov,CZ0UCHM,Background,urban,NO2,Nitrogen dioxide (air),2012,20.395,µg/m3,0,500,hour,Mean,94.718,CZ018C2,68346,4.5,95.5,1,65270.43
CZ,Most,CZ0UMOM,Background,urban,NO2,Nitrogen dioxide (air),2012,21.786,µg/m3,0,500,hour,Mean,94.9,CZ016C1,67729,4.5,95.5,1,64681.195
CZ,Ústí nad Labem,CZ0UULD,Traffic,urban,NO2,Nitrogen dioxide (air),2012,35.758,µg/m3,0,100,hour,Mean,77.379,CZ005C1,94852,4.5,95.5,1,4268.34
CZ,Ústí nad Labem,CZ0UULK,Background,suburban,NO2,Nitrogen dioxide (air),2012,14.841,µg/m3,0,500,hour,Mean,94.843,CZ005C1,94852,4.5,95.5,2,45291.83
CZ,Ústí nad Labem,CZ0UULM,Background,urban,NO2,Nitrogen dioxide (air),2012,25.548,µg/m3,0,500,hour,Mean,94.945,CZ005C1,94852,4.5,95.5,2,45291.83
CZ,Zlín,CZ0ZZLN,Background,suburban,NO2,Nitrogen dioxide (air),2012,15.901,µg/m3,0,100,hour,Mean,94.479,CZ011C1,77489,4.5,95.5,1,74001.995
DE,Potsdam,DEBB021,Background,urban,NO2,Nitrogen dioxide (air),2012,18.648,µg/m3,0,500,hour,Mean,99.954,DE041C1,146014,6.2,93.8,2,68480.566
DE,Frankfurt (Oder),DEBB042,Background,suburban,NO2,Nitrogen dioxide (air),2012,14.134,µg/m3,0,600,hour,Mean,99.898,DE029C1,63076,6.2,93.8,1,59165.288
DE,Frankfurt (Oder),DEBB045,Traffic,urban,NO2,Nitrogen dioxide (air),2012,33.366,µg/m3,0,600,hour,Mean,99.932,DE029C1,63076,6.2,93.8,1,3910.712
DE,Brandenburg an der Havel,DEBB049,Traffic,urban,NO2,Nitrogen dioxide (air),2012,25.985,µg/m3,0,600,hour,Mean,99.909,DE056C1,74478,6.2,93.8,1,4617.636
DE,Potsdam,DEBB054,Traffic,urban,NO2,Nitrogen dioxide (air),2012,46.729,µg/m3,1,600,hour,Mean,99.92,DE041C1,146014,6.2,93.8,2,4526.434
DE,Brandenburg an der Havel,DEBB055,Background,suburban,NO2,Nitrogen dioxide (air),2012,15.567,µg/m3,0,150,hour,Mean,99.954,DE056C1,74478,6.2,93.8,1,69860.364
DE,Cottbus,DEBB064,Background,urban,NO2,Nitrogen dioxide (air),2012,15.879,µg/m3,0,150,hour,Mean,99.954,DE539C1,105649,6.2,93.8,1,99098.762
DE,Potsdam,DEBB073,Traffic,urban,NO2,Nitrogen dioxide (air),2012,44.995,µg/m3,1,500,hour,Mean,99.954,DE041C1,146014,6.2,93.8,2,4526.434
DE,Potsdam,DEBB075,Background,suburban,NO2,Nitrogen dioxide (air),2012,14.099,µg/m3,0,100,hour,Mean,99.818,DE041C1,146014,6.2,93.8,2,68480.566
DE,Cottbus,DEBB087,Traffic,urban,NO2,Nitrogen dioxide (air),2012,32.449,µg/m3,0,100,hour,Mean,99.932,DE539C1,105649,6.2,93.8,1,6550.238
DE,Berlin,DEBE010,Background,urban,NO2,Nitrogen dioxide (air),2012,28.623,µg/m3,0,100,hour,Mean,98.463,DE001C1,3363975,6.2,93.8,6,525901.425
DE,Berlin,DEBE018,Background,urban,NO2,Nitrogen dioxide (air),2012,27.327,µg/m3,0,100,hour,Mean,99.613,DE001C1,3363975,6.2,93.8,6,525901.425
DE,Berlin,DEBE034,Background,urban,NO2,Nitrogen dioxide (air),2012,27.568,µg/m3,0,100,hour,Mean,98.816,DE001C1,3363975,6.2,93.8,6,525901.425
DE,Berlin,DEBE051,Background,suburban,NO2,Nitrogen dioxide (air),2012,14.318,µg/m3,0,500,hour,Mean,98.338,DE001C1,3363975,6.2,93.8,6,525901.425
DE,Berlin,DEBE061,Traffic,urban,NO2,Nitrogen dioxide (air),2012,52.272,µg/m3,1,500,hour,Mean,99.556,DE001C1,3363975,6.2,93.8,6,34761.075
DE,Berlin,DEBE063,Traffic,urban,NO2,Nitrogen dioxide (air),2012,51.775,µg/m3,1,500,hour,Mean,99.488,DE001C1,3363975,6.2,93.8,6,34761.075
DE,Berlin,DEBE064,Traffic,urban,NO2,Nitrogen dioxide (air),2012,55.649,µg/m3,1,500,hour,Mean,99.112,DE001C1,3363975,6.2,93.8,6,34761.075
DE,Berlin,DEBE065,Traffic,urban,NO2,Nitrogen dioxide (air),2012,42.534,µg/m3,1,500,hour,Mean,99.089,DE001C1,3363975,6.2,93.8,6,34761.075
